,Browsing + Categorisation,Components,Composites,Process composition,Data composition,Testing,Debugging,Interpretation,Dialog/form,Drag & drop,Forum,Public,PbEM,Icon,Textual,Flow diagram component,Explicit control flow,Wires,Flow diagram,Form,Average,Low,Domain expert,Technical expert,Advanced user,Consumer/Individual,Composite num downloads,Context-specific,Domain-specific,Mobile,Desktop,Web,Incompatibility prompts,Suggestions,Help,Screencasts,API/component documentation,Tutorials,Discussion forums,Examples,Level 2,Level 3,REST,Triggers,Actions,Branches,Loops,Tool-level,Semi-automation,No automation,Sharing composites,Data flow present,Application,Webpage/webapp,Component repository,Composite repository,Ad hoc,Fixed,Centralised,Decentralised,Explicit data flow,Implicit data flow,Mobile context,Web context,Composite description,Composite name,Upload/Publish composite,Rename composite,Save composite,Delete composite,Turn on/off composite,Acquire composite,Set/Edit composite parameters,Share composite on SNS,Edit composite,Execute composite,Activate component,Set/Edit component parameters,Use in composition,Tool documentation,Single composite I&Os,Multiple atomic I&Os,Component type,Browse + filter/search,Browse list,Other recommendations,No specification,In-app execution,Blog,External help/FAQ,No link,Control flow present,Component input(s),Component output(s)/result(s),Component options,Component icons,Composite creator,Component categories,Component icon,Component description,Component name,Form element
Webpage/webapp,4,7,4,5,5,3,1,6,5,2,2,6,4,5,5,1,3,1,1,5,3,1,5,6,6,7,2,2,4,1,0,11,2,5,5,2,3,4,2,4,2,3,4,3,7,2,2,2,3,3,5,10,1,6,5,4,0,6,6,0,2,3,1,5,4,3,3,3,4,4,3,3,3,3,4,2,6,6,6,4,2,3,2,0,6,2,5,5,4,1,4,10,4,4,4,3,3,3,2,4,6,4
Component repository,10,13,6,10,7,6,4,11,7,6,5,7,9,13,11,8,9,4,4,7,6,3,10,11,12,13,4,5,5,4,4,9,4,6,8,6,5,7,4,9,3,5,3,5,12,6,4,6,8,4,6,14,7,5,12,6,7,5,7,5,4,3,4,4,4,9,5,8,9,8,6,5,5,5,10,5,9,11,12,12,4,5,4,4,10,4,10,10,7,7,6,19,7,7,10,5,6,7,12,6,13,6
Composite repository,5,7,6,6,4,2,1,6,4,1,3,6,6,9,7,1,5,1,1,4,5,0,5,6,6,7,4,3,4,3,0,7,2,4,4,3,3,4,2,6,3,2,2,5,7,3,2,4,5,1,6,8,3,4,6,6,2,4,6,0,2,2,3,3,4,5,5,5,6,6,5,5,4,5,7,2,6,6,6,5,2,3,4,0,5,2,6,6,6,3,2,11,4,4,5,5,5,4,7,4,7,3
Ad hoc,6,7,2,6,3,4,3,6,4,4,3,2,5,8,6,7,6,3,3,4,3,3,6,6,7,7,2,4,1,3,4,0,2,1,3,4,2,3,2,5,2,3,0,2,6,4,2,4,5,2,2,6,6,0,7,2,7,0,2,5,2,1,3,0,0,6,2,5,5,4,3,2,2,2,6,3,4,6,7,8,2,2,2,4,5,2,5,6,3,6,4,11,3,3,7,2,3,4,10,2,8,4
Fixed,4,7,4,5,5,3,1,6,5,2,2,6,4,5,5,1,3,1,1,5,3,1,5,6,6,7,2,2,4,1,0,11,2,5,5,2,3,4,2,4,2,3,4,3,7,2,2,2,3,3,5,10,1,6,5,4,0,6,6,0,2,3,1,5,4,3,3,3,4,4,3,3,3,3,4,2,6,6,6,4,2,3,2,0,6,2,5,5,4,1,4,10,4,4,4,3,3,3,2,4,6,4
Centralised,6,9,6,7,5,3,1,8,7,2,3,8,6,9,7,1,5,1,1,7,5,1,7,8,8,9,4,4,4,3,0,11,2,6,5,3,3,5,2,6,4,3,4,5,9,3,2,4,5,3,7,10,3,6,7,6,2,6,8,0,2,3,3,5,4,5,5,5,6,6,5,5,4,5,7,2,8,8,8,6,2,3,4,0,7,3,7,7,6,3,6,13,4,4,6,5,5,4,7,5,9,5
Decentralised,4,5,0,4,3,4,3,4,2,4,2,0,3,4,4,7,4,3,3,2,1,3,4,4,5,5,0,2,1,1,4,0,2,0,3,3,2,2,2,3,0,3,0,0,4,3,2,2,3,2,0,6,4,0,5,0,5,0,0,5,2,1,1,0,0,4,0,3,3,2,1,0,1,0,3,3,2,4,5,6,2,2,0,4,4,1,3,4,1,4,2,8,3,3,5,0,1,3,5,1,5,3
Explicit data flow,4,4,2,4,6,3,5,4,5,3,3,2,4,1,4,5,2,4,3,3,1,2,3,4,4,6,2,0,3,1,2,3,5,1,4,2,5,4,5,5,0,3,2,1,4,4,3,0,4,1,2,10,2,2,4,2,2,2,2,2,6,0,1,1,2,4,2,2,3,3,1,2,2,1,3,2,3,4,4,3,3,3,0,2,4,0,3,4,3,3,0,9,4,4,4,1,3,3,2,3,4,2
Implicit data flow,3,5,2,4,4,3,1,4,4,1,0,3,3,6,4,0,3,0,0,4,2,2,4,4,4,4,0,3,2,0,1,6,0,2,3,1,1,1,0,3,2,3,2,2,5,0,0,3,2,2,3,8,1,3,3,2,1,3,3,1,0,4,0,3,2,2,1,3,3,2,2,1,2,2,3,2,3,4,4,3,1,2,2,1,4,1,3,4,2,0,2,8,3,3,4,2,1,2,3,1,4,4
Mobile context,3,4,3,4,1,1,0,4,3,0,3,3,3,7,5,0,4,0,0,3,3,0,3,4,4,4,3,3,1,4,0,1,1,2,2,2,2,3,2,3,2,1,0,3,4,2,1,3,3,1,3,2,4,1,4,3,3,1,3,1,1,0,4,0,1,4,3,4,4,4,4,3,2,3,5,1,4,4,4,5,1,1,2,1,2,1,4,4,3,4,4,7,1,1,4,3,3,3,6,2,5,2
Web context,4,6,3,4,4,3,1,5,5,2,1,5,3,4,3,1,2,1,1,5,3,1,5,5,5,6,1,2,3,0,0,10,1,4,4,2,2,3,1,3,2,3,4,2,6,1,1,2,3,2,4,8,0,5,4,3,0,5,5,0,1,3,0,5,3,2,2,2,3,3,2,2,2,2,3,2,5,5,5,3,1,2,2,0,5,2,4,4,3,0,4,8,3,3,3,2,2,2,2,3,5,4
Composite description,3,5,4,4,4,2,1,4,2,1,2,4,4,5,5,1,3,1,1,2,3,0,3,4,4,5,2,1,4,1,0,7,2,3,4,2,3,3,2,4,1,2,2,3,5,2,2,2,3,1,4,8,1,4,4,4,0,4,4,0,2,2,1,3,4,3,3,3,4,4,3,3,3,3,4,2,4,4,4,3,2,3,2,0,4,1,4,4,4,1,0,8,4,4,3,3,3,3,2,3,4,2
Composite name,7,9,5,9,6,5,4,9,5,4,5,5,7,11,10,5,7,3,3,5,5,3,7,9,9,10,4,4,4,4,3,5,4,3,5,4,5,5,4,7,3,4,1,4,10,5,3,5,7,2,5,12,6,3,9,5,6,3,5,4,4,2,4,2,3,9,5,7,8,7,5,5,5,4,9,4,7,9,9,9,4,4,3,4,6,2,8,9,5,6,4,17,6,6,9,4,6,7,11,5,10,6
